"name","address","image"
"Vịnh Hạ Long","Quảng Ninh","https://lh3.googleusercontent.com/proxy/jvdY-yP2FM6f1dnII35Gmlf8yg6Zgg1thmaqX4Wg7LfXazCZ2UqRSN44-8EYazHm7YIPLTMVmYT_GIxmm43qRGOkPVj1FoJ8cn9I9PmFFaPYgaXZE1kvApjx8MaUZplYFjXyYwTNGGJh1-bJdXAnbT6eSAE=w100-h134-n-k-no"
"Phú Quốc","Kiên Giang","https://lh5.googleusercontent.com/proxy/SCxYH2vjxZYC0zD_tHmlOnYhF41nDFQAOEUfDNvkE-QvniWYKtlic9261hWx0YO81jsAha-WtGm5s5gRpNpRgNusIPBue1pmQo6BhhG09pmSbWByQrSeOIGSBeGQ_TV7eqR_JRwVhkGGwrtD2ynjs9c3i2k=w100-h134-n-k-no"
"Địa đạo Củ Chi","TL15, Phú Hiệp, Hồ Chí Minh, 733814","https://lh3.googleusercontent.com/proxy/tWbIjbeRJzW1Ujc85-FAsb630RPsP9MnfWrzvecqbU7bqThHst5NWtrucqgbLb00IHJFS_T6Mn3jcqX5R7N0Iro7Lu_czqngW6fRtg_PT_3Uwv4qC4gqUoXgJjU4txCRr5Hiq8Wm_eegd9TzfD7weTe-cT4=w100-h134-n-k-no"
"Kinh thành Huế","Thành phố Huế, Thừa Thiên Huế","https://lh5.googleusercontent.com/proxy/pQ6oCnX5wckeZBpqV42hem9Zpai0ctbBZAV4nChdimYeVAiLxze-ouRui2SMssocodsU5f2Lfp8NMpXVd7meseJaJR-A1ifA8PBnA0WJeI_ZpNkRwSsyhiz-1k3RkKxraBuHpGHsGx9JJUIPGiZfuqHyXuI=w100-h134-n-k-no"
"Lăng Chủ tịch Hồ Chí Minh","2 Hùng Vương, Điện Bàn, Ba Đình, Hà Nội 100000","https://lh3.googleusercontent.com/proxy/0jHwpqY9tkrLhDS3t_mBBYFFxV1czW0AeBrN4NF2g1CnkEYauUITexFyEpdGNzhI7B4cPXk3yhGebwgURQ9oMPpDOpxhWGc7obQJD5CvNOmpyYnKuhFtf-x5jkDn6lzCNPEYCWHUum92Km-PxBOTBZwZCWg=w100-h134-n-k-no"
"Ngũ Hành Sơn","52 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000","https://lh6.googleusercontent.com/proxy/tId22fzg40ox483EAub4uaco-TrqXifQefj27NSohzZF6ODkDzc9NpRlHOUAyQw9hcccwyxs_gWDzGq25ARWKGLSugEl6P9sMr1Lpoo7mK18h549lvw9omTUWCxFaNyQJd_cGgMqbwwI3-P8pibbv06L8Do=w100-h134-n-k-no"
"Phan Xi Păng","Lai Châu","https://lh4.googleusercontent.com/proxy/j7X2ZaJrxZwYpR6MOjWcrU6r6MZwNGI_lrfZUXcZXJLJC8M82ifIr31HEYYUSyziq5CMwq6s3t1TbDSgjE4HWOkkKJgcaTmCdhq4uzTfcchuz_GxaOi5QC0KiDTz1_I-vGzvAMBCfjcnv0d028WgAcCFAf_GaBKyQgI=w100-h134-n-k-no"
"Chợ Bến Thành","Chợ, Lê Lợi, Phường Bến Thành, Quận 1, Hồ Chí Minh 700000","https://lh3.googleusercontent.com/proxy/3QdUY1JVy3RjoM1vwEkwDgrVl5i8tIddE7uK7nkqwErBhaE-j84bI8uWcuLvNuHRhH6xph_cbOFdkreG58LUXaMCOFz8G1wuzwKtMv59hGKT0OYAN0h3u74ouuAxcINQ1EO_kUZyzoV01w53iKi2JNp5cUM=w100-h134-n-k-no"
"Dinh Độc Lập","135 Nam Kỳ Khởi Nghĩa, Phường Bến Thành, Quận 1, Hồ Chí Minh 700000","https://lh3.googleusercontent.com/proxy/WmWpg8u0PG7XueWNupiIDCrQDLKBI603o8JM0mR4Jl81lbDRNlmraSDLKUerTqwLT88eT5qQXQmOP8x9Qh_beT3NbSyCBw0FbePyK6YFTHuXVYrGY0kde8MJmsZnDBvzxR7yX_kqPspbrhOZyETeXed4hYE=w100-h134-n-k-no"
"Chùa Bái Đính","Gia Sinh, Gia Viễn, Gia Sinh Gia Viễn Ninh Bình 432449","https://lh3.googleusercontent.com/proxy/Js3XVfmA70Q8C4-Cd448LUhCfaGpznPHQyni8wXRsBW9_hVNvVydOMC6a5MwbLAqH4h7gn6i_gt8ZhJh8YkSOtjPY7LId-NU4OJeTYZLNSZgI4X4xO_FzTjPZNaTYw80WxFAgDhGolLQykuoomRTjb7p0Ec=w100-h134-n-k-no"
